Class Name	Parent Class	YAML Class Name	Description	Flags	Slot Name	YAML Slot Name	Range	Card	Slot Description	URI
					organism_tissue		Term	0..1	Part of organism (typically tissue or organ) from which the biospecimen/sample was taken, or cell line was derived from.	https://w3id.org/fga-wg/schema/sample/organism_tissue
					cell_type		Term	0..1	Cell type of isolated normal cells in the biospecimen/sample.	https://w3id.org/fga-wg/schema/sample/cell_type
					cell_line		Term	0..1	Cultured cell line used in the biospecimen/sample.	https://w3id.org/fga-wg/schema/sample/cell_line
					other_biospecimen		Term	0..*	Other biospecimen-related terms that can be used to further classify the biospecimen/sample.	https://w3id.org/fga-wg/schema/sample/other_biospecimen
					sampling_protocol		URI	0..1	Protocol detailing the collection and treatment of the biospecimen/sample.	https://w3id.org/fga-wg/schema/sample/sampling_protocol
					sample_collection_location		str	0..1	Geographical location where the sample was collected.	https://w3id.org/fga-wg/schema/sample/sample_collection_location
					sample_collection_date		XSDDateTime	0..1	Date of sample collection.	https://w3id.org/fga-wg/schema/sample/sample_collection_date
					phenotype		Term	0..1	Main phenotype (e.g. disease) connected to the biospecimen/sample.	https://w3id.org/fga-wg/schema/sample/phenotype
					donor_age		str	0..1	Age of the donor/organism at the time of sampling	https://w3id.org/fga-wg/schema/sample/donor_age
					donor_development_stage		Term	0..1	Development stage of the donor at the time of sampling.	https://w3id.org/fga-wg/schema/sample/donor_development_stage
					donor_clinical_information		str	0..1	Clinical information of the donor/organism at the time of sampling.	https://w3id.org/fga-wg/schema/sample/donor_clinical_information
Study		Study	A scientific study, i.e. a unit of research, within which experiments and/or analyses have been carried out.							
					study_external_id		Curie	0..1	External, globally unique identifier for the study (preferably a BioStudies CURIE).	https://w3id.org/fga-wg/schema/study/study_external_id
				I	study_id		Curie	1..1	"Internal identifier for the study (unique within the metadata deposit). Namespace: ""study""."	https://w3id.org/fga-wg/schema/study/study_id
					study_title		str	1..1	Title of the study.	https://w3id.org/fga-wg/schema/study/study_title
					study_abstract		str	0..1	Abstract of the study.	https://w3id.org/fga-wg/schema/study/study_abstract
					project_external_ref		URIorCURIE	0..1	Reference to a project within which the study was carried out (preferably a BioProject CURIE).	https://w3id.org/fga-wg/schema/study/project_external_ref
					project_name		str	0..1	Name of the project within which the study was carried out.	https://w3id.org/fga-wg/schema/study/project_name
					publications		Curie	0..*	List of (relevant) publications containing the results of the study (in the form of DOI CURIEs).	https://w3id.org/fga-wg/schema/study/publications
					study_contact		Contact	0..1	Contact point for the study.	https://w3id.org/fga-wg/schema/study/study_contact
Term		Term	Helper entity to represent an ontology term as a data value. 							
					id		Curie	1..1	External, globally unique identifier for the ontology term (in CURIE form).	https://w3id.org/fga-wg/schema/term/id
					label		str	0..1	"Human-readable label associated to the term id in the current version of the ontology (as listed in the ""ontology_versions"" field of the Deposit object)."	https://w3id.org/fga-wg/schema/term/label
TrackGeometry		TrackGeometry	Overall geometric properties of the sequence features in the genomic annotation file if considered as an one-dimensional genome browser track, in line with the track type delineations from Gundersen et. al, 2011. While conceptually based on visual characteristics, these properties are also useful to e.g. select relevant annotation files for non-visual analyses.							
					has_gaps		Bool	1..1	Whether there are gaps between the sequence features (there exists at least one gap between two features on the same sequence).	https://w3id.org/fga-wg/schema/track-geometry/has_gaps
					has_lengths		Bool	1..1	Whether the sequence features have lengths (at least one feature spans more than 1 base pair).	https://w3id.org/fga-wg/schema/track-geometry/has_lengths
					has_strands		Bool	1..1	Whether the sequence features are stranded (at least one feature has strand information).	https://w3id.org/fga-wg/schema/track-geometry/has_strands
					has_values		Bool	1..1	Whether the sequence features have associated values (at least one feature has an associated value).	https://w3id.org/fga-wg/schema/track-geometry/has_values
					has_edges		Bool	1..1	Whether the sequence features are linked across positions (at least one edge between features exists).	https://w3id.org/fga-wg/schema/track-geometry/has_edges
